batch_id	slug	runs	cumulative	timestamp
0	-	0	0	2026-09-05T00:00:00+00:00
pll-trace-pilot	plla	1	1	2026-09-05T21:35:00+00:00
pll-trace-pilot2	plla	12	13	2026-09-05T21:55:14+00:00
p1-dhcen-feas	dhcen	2	15	2026-09-05T22:45:16+00:00
p1-dhcen-trace	dhcen	9	24	2026-09-05T22:45:16+00:00
p1-dhcen-trace-2	dhcen	7	31	2026-09-05T22:45:16+00:00
p1-dhcen-trace-3	dhcen	1	32	2026-09-05T22:45:16+00:00
p1-dhcen-trace-4	dhcen	2	34	2026-09-05T22:45:16+00:00
p1-dhcen-trace-5	dhcen	7	41	2026-09-05T22:45:16+00:00
p1-dhce-fuse	dhcen	4	45	2026-09-05T23:10:27+00:00
p1-pll-attrmap	plla	12	57	2026-09-05T23:30:11+00:00
p1t08d-insloc	hclk	24	81	2026-09-06T01:18:23.232209+00:00
p1t08d-topstair	hclk	3	84	2026-09-06T01:18:23.232209+00:00
p1-dqce-types	dqce	8	92	2026-09-06T08:52:37+00:00
p1-pll-sweep-a	plla	20	112	2026-09-06T09:33:25.236215+00:00
p1t14-trials	clkdiv	3	115	2026-09-06T13:49:54+00:00
p1t14-clkdiv	clkdiv	10	125	2026-09-06T13:49:54+00:00
p1t14-clkdiv-e0	clkdiv	1	126	2026-09-06T13:49:54+00:00
p1t15-clkdiv2-e1	clkdiv2	7	133	2026-09-06T14:59:33.704183+00:00
p1t15-clkdiv2-e0	clkdiv2	1	134	2026-09-06T14:59:33.704183+00:00
p1t27-dhce-lane	dhcen	5	139	2026-09-06T16:03:01+00:00
p1t27-dhce-e1	dhcen	6	145	2026-09-06T16:41:28+00:00
p1t27-dhce-e1b	dhcen	4	149	2026-09-06T16:41:28+00:00
p1-pll-sweep-b	plla	20	169	2026-09-06T18:20:00+00:00
p1-pll-pump	plla	10	179	2026-09-06T18:20:00+00:00
p1-pll-e1	plla	1	180	2026-09-06T18:20:00+00:00
p1t29-dce	dqce	3	183	2026-09-06T19:27:29+00:00
p1t31-dcs	dcs	2	185	2026-09-06T19:27:29+00:00
p1t29-dqce-e1	dqce	1	186	2026-09-06T19:27:29+00:00
p1t29-dqce-e1b	dqce	1	187	2026-09-06T19:27:29+00:00
p1t29-dqce-e1c	dqce	1	188	2026-09-06T19:54:52+00:00
p1t31-dcs-e1	dcs	1	189	2026-09-06T19:54:52+00:00
p1t31-dcs-e1b	dcs	1	190	2026-09-06T19:54:52+00:00
p1t29-dce-redo	dqce	1	191	2026-09-06T19:59:19+00:00
p1t31-dcs-redo	dcs	1	192	2026-09-06T19:59:19+00:00
p1-pll-sweep-c	plla	12	204	2026-09-06T20:47:29.247090+00:00
p1-pll-sweep-d	plla	12	216	2026-09-06T21:03:44.984740+00:00
