# Phase-3 (ws_03_io_iologic) oracle-run ledger. Blueprint P3-io-iologic.md
# "Oracle-run budget (corrected, F9)": 110 planned vendor runs = 104 row runs
# over the 13 evidence rows + 6 adjudication runs in P3.T04.
# Per-task allocation, verbatim from the blueprint:
#   T04 6, T07 12, T11 2, T12 6, T13 8, T14 6, T16 2, T21 28, T23 6, T24 2,
#   T25 10, T26 4, T27 4, T29 8, T31 6  -> sum 110.
# P3.T08 re-runs P3.T07's designs at --level E1 and adds NO new oracle runs
# (blueprint P3.T08 "Expected vendor runs": counted inside P3.T07's 12).
# One vendor gw_sh invocation = one run. The open-flow companion (yosys +
# nextpnr + gowin_pack) of a run is not an oracle run and is not counted.
batch_id	slug	runs	cumulative	timestamp
0	-	0	0	2026-09-07T00:00:00+00:00
p3-pin-to-hclk	pin-to-hclk	12	12	2026-09-07T11:10:58+00:00
p3-oddr-iddr-audit	oddr-iddr	2	14	2026-09-07T11:37:31+00:00
p3-oddr-iddr	oddr-iddr	6	20	2026-09-07T11:47:06+00:00
p3-oddr-iddr-b	oddr-iddr	6	26	2026-09-07T13:05:00+00:00
p3-oser	oser	2	28	2026-09-07T13:16:00+00:00
p3-oser-b	oser	6	34	2026-09-07T14:18:05+00:00
p3-ides	ides	6	40	2026-09-07T15:46:19+00:00
p3-iodelay-a-ttyp63	iodelay	21	61	2026-09-07T20:02:12+00:00
p3-iodelay-a	iodelay	28	89	2026-09-07T20:02:12+00:00
p3-f2	iob-bank+iodelay+oddr-iddr+oser+ides	0	89	2026-09-07T22:21:41+00:00
# P3.T23/T24/T25 + IODELAY re-shape, caps declared BEFORE the batches (D109):
#   p3-tlvds 3 (the three TLVDS types; the pads carry no DRIVE, so type
#   identity is the whole axis -- the blueprint's 6 assumed a DRIVE sub-sweep
#   the vendor does not expose on a differential pad), p3-tlvds-iobuf 1,
#   p3-elvds 3 (three ELVDS types; the VCCIO axis is one level because every
#   ball outside banks 6/7 on this board is 3.3 V -- SA-P3-1), p3-iodelay-b 2.
#   Total 9, cumulative 98/140.  Orchestrator cap for this task: 14.
p3-tlvds	tlvds	3	92	2026-09-08T00:34:00+00:00
p3-tlvds-iobuf	tlvds-iobuf	1	93	2026-09-08T00:35:00+00:00
p3-elvds	elvds	3	96	2026-09-08T00:37:00+00:00
p3-elvds-vccio	elvds	2	98	2026-09-08T02:55:00+00:00
p3-iodelay-b	iodelay	2	100	2026-09-08T01:20:00+00:00
p3-oser16	oser16-ides16	1	101	2026-09-08T03:43:00+00:00
p3-ides16	oser16-ides16	1	102	2026-09-08T03:45:00+00:00
p3-adc	adc	4	106	2026-09-08T04:05:00+00:00
p3-osc	osc	3	109	2026-09-08T04:20:00+00:00
p3-iodelay-c	iodelay	1	110	2026-09-08T04:30:00+00:00
p3t16a-ides16b	oser16-ides16	1	111	2026-09-08T03:09:24+00:00
p3iodly-iddr	iodelay	1	112	2026-09-08T03:09:24+00:00
p3t28b-adc-anchor	adc	0	112	2026-09-08T05:55:00+00:00
# P3.T39 ADC fuse sweep, cap declared BEFORE the batch (D111): 8 runs -- the
#   six remaining VSENCTL values and the two remaining DIV_CTL values, which
#   is what completes both axes against the four points already on disk.
#   Cumulative 120/160.
p3-adc-fuses	adc	8	120	2026-09-08T04:01:04+00:00
# P3.F3 B-half IOLOGIC, cap declared BEFORE the batch (gestalt-p3 B6): 3 runs --
#   one ODDRC, one OSER4 and one IDES4, each on the B half of a pad pair, which
#   is what the retracted "A half only" conclusion owes.  Cumulative 123/160.
