primitive	attr	vendor_val	apicula_val	direction	bits	attrid	tile	ttyp	idx	disposition	justification
ODDR	CLKODDRMUX_ECLK	-	UNKNOWN	apicula_only	2	52	79,108	247	A	handler	apicula emits the literal UNKNOWN value, which sets real fuses the vendor leaves clear; the 138C override drops it (G-FCLK-138C: no HCLK->FCLK edge on this die)
ODDR	CLKOMUX	ENABLE	ENABLE	agree	3	57	79,108	247	A	unexplained-justified	both sides set the same value; nothing to change
ODDR	LSRIMUX_0	0	0	agree	1	20	79,108	247	A	unexplained-justified	both sides set the same value; nothing to change
ODDR	LSROMUX_0	0	0	agree	1	21	79,108	247	A	unexplained-justified	both sides set the same value; nothing to change
ODDR	OUTMODE	MODDRX1	ODDRX1	value_differs	5	1	79,108	247	A	handler	vendor 'MODDRX1' vs gowin_pack 'ODDRX1'
IDDR	CLKIMUX	ENABLE	ENABLE	agree	3	56	82,108	247	A	unexplained-justified	both sides set the same value; nothing to change
IDDR	INMODE	IDDRX1	IDDRX1	agree	3	0	82,108	247	A	unexplained-justified	both sides set the same value; nothing to change
IDDR	LSRIMUX_0	0	0	agree	1	20	82,108	247	A	unexplained-justified	both sides set the same value; nothing to change
IDDR	LSROMUX_0	0	0	agree	1	21	82,108	247	A	unexplained-justified	both sides set the same value; nothing to change
IDDRC	CLKIMUX	ENABLE	ENABLE	agree	3	56	71,108	247	A	unexplained-justified	both sides set the same value; nothing to change
IDDRC	INMODE	IDDRX1	IDDRX1	agree	3	0	71,108	247	A	unexplained-justified	both sides set the same value; nothing to change
IDDRC	LSRMUX_LSR	INV	INV	agree	3	19	71,108	247	A	unexplained-justified	both sides set the same value; nothing to change
IDDRC	LSROMUX_0	0	0	agree	1	21	71,108	247	A	unexplained-justified	both sides set the same value; nothing to change
