ttyp	verdict	gw_sh_log_path	iologic_cells	iob_bels	bonded_pins	example_cell
60	reject	-	23	none	0	(108, 14)
63	accept	-	3	IOBA	3	(108, 36)
64	accept	-	1	IOBA	1	(72, 0)
65	accept	-	1	IOBA	1	(72, 181)
86	accept	-	1	IOBA	1	(54, 0)
87	accept	-	1	IOBA	1	(54, 181)
178	reject	-	1	none	0	(0, 13)
179	reject	-	1	none	0	(0, 14)
182	reject	-	4	none	0	(108, 28)
183	reject	-	4	none	0	(108, 29)
184	reject	-	4	none	0	(108, 30)
185	reject	-	3	none	0	(108, 31)
220	reject	-	1	none	0	(108, 180)
229	accept	-	3	IOBA,IOBB	6	(10, 0)
230	accept	-	3	IOBA,IOBB	6	(10, 181)
231	accept	-	3	IOBA,IOBB	6	(64, 0)
232	accept	-	3	IOBA,IOBB	6	(64, 181)
239	reject	-	1	none	0	(0, 91)
240	reject	-	1	none	0	(0, 90)
242	reject	-	155	none	0	(0, 15)
243	accept	-	42	IOBA,IOBB	84	(1, 0)
244	reject	-	48	none	0	(2, 0)
245	accept	-	42	IOBA,IOBB	84	(1, 181)
246	reject	-	48	none	0	(2, 181)
247	accept	-	48	IOBA,IOBB	96	(108, 37)
248	reject	-	46	none	0	(108, 38)
249	accept	-	12	IOBA,IOBB	12	(108, 2)
250	reject	-	12	none	0	(108, 3)
251	accept	-	1	IOBA	1	(108, 90)
252	reject	-	1	none	0	(108, 18)
253	reject	-	1	none	0	(108, 23)
254	reject	-	1	none	0	(108, 154)
255	reject	-	1	none	0	(108, 158)
274	reject	-	1	none	0	(108, 64)
278	reject	-	1	none	0	(0, 27)
279	reject	-	1	none	0	(0, 45)
280	reject	-	1	none	0	(0, 63)
281	reject	-	1	none	0	(0, 81)
282	reject	-	1	none	0	(0, 99)
283	reject	-	1	none	0	(0, 117)
284	reject	-	1	none	0	(0, 135)
285	reject	-	1	none	0	(0, 153)
374	reject	-	1	none	0	(108, 27)
378	reject	-	1	none	0	(108, 99)
379	reject	-	1	none	0	(108, 117)
380	reject	-	1	none	0	(108, 135)
381	reject	-	1	none	0	(108, 153)
