device	site_idx	side	row	col	ttyp	table_id	table_rows	distinct_attr_ids	attr_id_min	attr_id_max
GW5AST-138C	0	L	27	1	74	35	804	804	16	2529
GW5AST-138C	0	L	27	2	75	35	968	944	813	1804
GW5AST-138C	0	L	27	3	76	35	685	685	1805	2489
GW5AST-138C	1	R	27	177	77	35	804	804	16	2529
GW5AST-138C	1	R	27	178	78	35	968	944	813	1804
GW5AST-138C	1	R	27	179	79	35	685	685	1805	2489
GW5AST-138C	2	L	45	0	268	35	808	808	16	2530
GW5AST-138C	2	L	45	1	75	35	968	944	813	1804
GW5AST-138C	2	L	45	2	76	35	685	685	1805	2489
GW5AST-138C	3	R	45	178	77	35	804	804	16	2529
GW5AST-138C	3	R	45	179	78	35	968	944	813	1804
GW5AST-138C	3	R	45	180	79	35	685	685	1805	2489
GW5AST-138C	4	L	63	0	270	35	808	808	16	2530
GW5AST-138C	4	L	63	1	75	35	968	944	813	1804
GW5AST-138C	4	L	63	2	76	35	685	685	1805	2489
GW5AST-138C	5	R	63	178	77	35	804	804	16	2529
GW5AST-138C	5	R	63	179	78	35	968	944	813	1804
GW5AST-138C	5	R	63	180	79	35	685	685	1805	2489
GW5AST-138C	6	L	81	1	74	35	804	804	16	2529
GW5AST-138C	6	L	81	2	75	35	968	944	813	1804
GW5AST-138C	6	L	81	3	76	35	685	685	1805	2489
GW5AST-138C	7	R	81	177	77	35	804	804	16	2529
GW5AST-138C	7	R	81	178	78	35	968	944	813	1804
GW5AST-138C	7	R	81	179	79	35	685	685	1805	2489
GW5AST-138C	8	B	108	28	182	35	804	804	16	2529
GW5AST-138C	8	B	108	29	183	35	968	944	813	1804
GW5AST-138C	8	B	108	30	184	35	685	685	1805	2489
GW5AST-138C	9	B	108	32	182	35	804	804	16	2529
GW5AST-138C	9	B	108	33	183	35	968	944	813	1804
GW5AST-138C	9	B	108	34	184	35	685	685	1805	2489
GW5AST-138C	10	B	108	146	182	35	804	804	16	2529
GW5AST-138C	10	B	108	147	183	35	968	944	813	1804
GW5AST-138C	10	B	108	148	184	35	685	685	1805	2489
GW5AST-138C	11	B	108	150	182	35	804	804	16	2529
GW5AST-138C	11	B	108	151	183	35	968	944	813	1804
GW5AST-138C	11	B	108	152	184	35	685	685	1805	2489
GW5A-25A	-	slot	-	-	1024	35	2440	2416	16	2512
